category,description,systemMatchCounter,influenceDistance,name,x,y
0,Bonnie,810,133.152,Knowledge Element 1,10.984056,4.9152966
0,Bonnie,824,181.442,Knowledge Element 2,8.507067,3.5704436
0,Bonnie,803,47.0505,Knowledge Element 3,8.491124,4.89862
0,Bonnie,802,13.4032,Knowledge Element 4,9.613631,4.2799234
0,Bonnie,801,8.30969,Knowledge Element 5,9.688094,4.754435
0,Bonnie,800,10.8402,Knowledge Element 6,9.552285,4.860068
0,Bonnie,799,12.5625,Knowledge Element 7,9.053869,3.7822216
0,Bonnie,798,15.2097,Knowledge Element 8,10.446099,5.2887235
0,Bonnie,797,10.3379,Knowledge Element 9,11.669965,6.124495
0,Bonnie,796,8.15479,Knowledge Element 10,11.719211,6.2606506
0,Bonnie,795,8.92634,Knowledge Element 11,9.858222,6.75448
0,Bonnie,794,13.1973,Knowledge Element 12,10.013825,5.038871
0,Bonnie,793,20.6405,Knowledge Element 13,8.566226,3.9645393
0,Bonnie,792,14.5392,Knowledge Element 14,9.765241,5.4879417
0,Bonnie,791,13.8648,Knowledge Element 15,9.5272045,6.6963816
0,Bonnie,790,20.4916,Knowledge Element 16,9.840067,5.427219
0,Bonnie,789,26.797,Knowledge Element 17,11.803898,6.281731
0,Bonnie,788,43.7849,Knowledge Element 18,11.555385,5.7934613
0,Bonnie,787,39.9572,Knowledge Element 19,11.810349,3.9985256
0,Bonnie,786,26.1769,Knowledge Element 20,10.928648,5.046597
0,Bonnie,785,22.7727,Knowledge Element 21,9.70452,5.5696187
0,Bonnie,784,14.3334,Knowledge Element 22,9.79921,6.1799417
0,Bonnie,783,19.3269,Knowledge Element 23,9.683218,5.1142087
0,Bonnie,782,19.8822,Knowledge Element 24,9.814811,5.9520063
0,Bonnie,781,23.0062,Knowledge Element 25,9.976569,7.8921022
0,Bonnie,780,21.7389,Knowledge Element 26,11.108465,7.4589863
0,Bonnie,779,26.3533,Knowledge Element 27,10.106427,8.067661
0,Bonnie,778,25.8412,Knowledge Element 28,9.234133,4.438222
0,Bonnie,777,25.5013,Knowledge Element 29,10.07508,3.8292422
0,Bonnie,776,19.4309,Knowledge Element 30,10.115878,4.6154227
0,Bonnie,775,17.7399,Knowledge Element 31,9.564988,5.30047
0,Bonnie,774,16.6862,Knowledge Element 32,10.977835,5.1037755
