name,description,category,influenceDistance,pct,x,y,z
Knowledge Element 1,Bonnie,0,133.152,0.9983948635634029,4.5033054,4.512657,7.4937973
Knowledge Element 2,Bonnie,0,181.442,1.0,1.3244953,4.5789757,7.661499
Knowledge Element 3,Bonnie,0,47.0505,0.9967897271268058,1.9442806,4.93169,6.339615
Knowledge Element 4,Bonnie,0,13.4032,0.9951845906902087,6.5779667,3.6379032,6.0672493
Knowledge Element 5,Bonnie,0,8.30969,0.9935794542536116,5.840208,3.7201424,6.194088
Knowledge Element 6,Bonnie,0,10.8402,0.9919743178170144,5.334852,3.5682945,8.627872
Knowledge Element 7,Bonnie,0,12.5625,0.9903691813804173,6.1422443,4.4001656,8.398804
Knowledge Element 8,Bonnie,0,15.2097,0.9887640449438202,5.19985,2.7204056,7.6355286
Knowledge Element 9,Bonnie,0,10.3379,0.9871589085072231,3.8681736,2.4763775,8.308151
Knowledge Element 10,Bonnie,0,8.15479,0.985553772070626,3.4452343,2.71521,8.694115
Knowledge Element 11,Bonnie,0,8.92634,0.9839486356340289,3.5756054,3.4491692,8.764412
Knowledge Element 12,Bonnie,0,13.1973,0.9823434991974318,3.8273335,4.463768,8.447582
Knowledge Element 13,Bonnie,0,20.6405,0.9807383627608347,5.193754,3.2409096,4.675358
Knowledge Element 14,Bonnie,0,14.5392,0.9791332263242376,5.5744076,2.6058712,6.294758
Knowledge Element 15,Bonnie,0,13.8648,0.9775280898876404,4.3929157,3.2847023,8.50304
Knowledge Element 16,Bonnie,0,20.4916,0.9759229534510433,6.2295666,4.0738907,8.223423
Knowledge Element 17,Bonnie,0,26.797,0.9743178170144462,6.068098,4.271946,8.276104
Knowledge Element 18,Bonnie,0,43.7849,0.9727126805778491,1.487423,5.487274,7.321419
Knowledge Element 19,Bonnie,0,39.9572,0.971107544141252,-5.932619,5.0411453,-3.269436
Knowledge Element 20,Bonnie,0,26.1769,0.9695024077046549,6.873232,2.0468845,7.5007553
Knowledge Element 21,Bonnie,0,22.7727,0.9678972712680578,6.867853,1.1232929,5.91547
Knowledge Element 22,Bonnie,0,14.3334,0.9662921348314607,6.585272,0.9862442,5.8263855
Knowledge Element 23,Bonnie,0,19.3269,0.9646869983948636,6.9454746,3.8158169,6.801037
Knowledge Element 24,Bonnie,0,19.8822,0.9630818619582665,6.423834,3.9141903,5.348484
Knowledge Element 25,Bonnie,0,23.0062,0.9614767255216693,6.644064,2.023346,7.4283104
