category,description,systemMatchCounter,influenceDistance,name,x,y
0,Bonnie,810,133.152,Knowledge Element 1,2.4315617,-35.3372
0,Bonnie,824,181.442,Knowledge Element 2,-0.3205827,-24.501816
0,Bonnie,803,47.0505,Knowledge Element 3,4.8263197,10.569598
0,Bonnie,802,13.4032,Knowledge Element 4,5.660396,-29.968912
0,Bonnie,801,8.30969,Knowledge Element 5,1.0809777,-27.993727
0,Bonnie,800,10.8402,Knowledge Element 6,3.0168984,-27.248829
0,Bonnie,799,12.5625,Knowledge Element 7,-3.5435462,-30.16654
0,Bonnie,798,15.2097,Knowledge Element 8,-2.666755,-36.178925
0,Bonnie,797,10.3379,Knowledge Element 9,-8.873314,-44.536987
0,Bonnie,796,8.15479,Knowledge Element 10,-8.167298,-38.944057
0,Bonnie,795,8.92634,Knowledge Element 11,-13.337817,-36.085705
0,Bonnie,794,13.1973,Knowledge Element 12,-12.158319,-43.423473
0,Bonnie,793,20.6405,Knowledge Element 13,0.4000917,-33.2917
0,Bonnie,792,14.5392,Knowledge Element 14,-1.1367491,-27.473507
0,Bonnie,791,13.8648,Knowledge Element 15,-1.4417466,-17.427284
0,Bonnie,790,20.4916,Knowledge Element 16,3.1790755,-12.293998
0,Bonnie,789,26.797,Knowledge Element 17,-18.16612,-47.87538
0,Bonnie,788,43.7849,Knowledge Element 18,-15.770116,-59.22926
0,Bonnie,787,39.9572,Knowledge Element 19,3.1512718,-53.680004
0,Bonnie,786,26.1769,Knowledge Element 20,4.778537,-36.35588
0,Bonnie,785,22.7727,Knowledge Element 21,-8.112819,-36.917824
0,Bonnie,784,14.3334,Knowledge Element 22,-14.123665,-38.069183
0,Bonnie,783,19.3269,Knowledge Element 23,-1.4304509,-35.02372
0,Bonnie,782,19.8822,Knowledge Element 24,-7.8132324,-29.27546
0,Bonnie,781,23.0062,Knowledge Element 25,-13.445851,-29.477747
0,Bonnie,780,21.7389,Knowledge Element 26,-8.929529,-38.096577
0,Bonnie,779,26.3533,Knowledge Element 27,-9.873922,-31.261559
0,Bonnie,778,25.8412,Knowledge Element 28,1.9076339,-14.803033
0,Bonnie,777,25.5013,Knowledge Element 29,5.6597886,-35.52942
0,Bonnie,776,19.4309,Knowledge Element 30,-2.3467488,-27.866646
0,Bonnie,775,17.7399,Knowledge Element 31,-4.2943883,-27.297009
0,Bonnie,774,16.6862,Knowledge Element 32,3.1145163,-31.39544
0,Bonnie,773,21.2317,Knowledge Element 33,-5.3170667,-51.5466
0,Bonnie,772,17.5648,Knowledge Element 34,-9.82795,-36.040794
0,Bonnie,771,20.8131,Knowledge Element 35,1.7727455,-0.7022503
0,Bonnie,770,27.5222,Knowledge Element 36,3.3960454,-35.77564
0,Bonnie,769,22.2158,Knowledge Element 37,-4.4725556,-31.34252
0,Bonnie,768,40.5893,Knowledge Element 38,-6.5724015,-58.854557
0,Bonnie,767,32.1389,Knowledge Element 39,-12.921361,-23.399824
0,Bonnie,766,25.6573,Knowledge Element 40,-17.016043,-8.552614
0,Bonnie,765,29.9499,Knowledge Element 41,-1.6275269,-51.279793
0,Bonnie,764,34.0641,Knowledge Element 42,-7.5035906,-37.809364
0,Bonnie,763,37.1561,Knowledge Element 43,-8.914656,-28.870743
0,Bonnie,762,32.5221,Knowledge Element 44,9.039077,-9.601392
0,Bonnie,761,32.1434,Knowledge Element 45,10.751927,-10.455713
0,Bonnie,760,34.3905,Knowledge Element 46,-10.050811,-37.528072
0,Bonnie,759,42.2816,Knowledge Element 47,-10.679054,-21.919157
0,Bonnie,758,62.768,Knowledge Element 48,-1.3647116,-42.081818
0,Bonnie,757,65.2279,Knowledge Element 49,-7.3204556,-46.98941
0,Bonnie,756,53.7063,Knowledge Element 50,1.333263,-8.679815
0,Bonnie,755,39.7183,Knowledge Element 51,11.861009,-8.911233
0,Bonnie,754,32.4495,Knowledge Element 52,-4.3374796,-19.793243
0,Bonnie,753,26.9851,Knowledge Element 53,-7.150945,-3.239005
0,Bonnie,752,28.0116,Knowledge Element 54,-2.5060072,-42.301632
0,Bonnie,751,36.1839,Knowledge Element 55,1.9774739,-27.222744
0,Bonnie,750,45.5473,Knowledge Element 56,-10.529419,4.0615005
0,Bonnie,749,54.1489,Knowledge Element 57,-3.0069876,-40.629463
0,Bonnie,748,42.9439,Knowledge Element 58,-0.16130689,-57.7319
0,Bonnie,747,68.1122,Knowledge Element 59,21.170767,-6.55045
0,Bonnie,746,25.5668,Knowledge Element 60,4.571014,-33.779892
0,Bonnie,745,27.0931,Knowledge Element 61,6.8278027,-0.44933784
0,Bonnie,744,30.2452,Knowledge Element 62,17.796953,6.8156466
0,Bonnie,743,38.8222,Knowledge Element 63,15.175354,2.5276775
0,Bonnie,742,35.0979,Knowledge Element 64,2.6206787,1.0749539
0,Bonnie,741,30.7027,Knowledge Element 65,-8.719877,18.234411
0,Bonnie,740,21.688,Knowledge Element 66,0.45176846,19.292248
0,Bonnie,739,17.6503,Knowledge Element 67,7.0850563,18.093307
0,Bonnie,738,17.9878,Knowledge Element 68,4.362995,5.4932194
0,Bonnie,737,19.959,Knowledge Element 69,3.5992253,-1.801813
0,Bonnie,736,26.902,Knowledge Element 70,-3.4500377,-0.16858615
0,Bonnie,735,28.84,Knowledge Element 71,1.8297966,36.361797
0,Bonnie,734,30.579,Knowledge Element 72,-6.7164617,27.99008
0,Bonnie,733,31.0836,Knowledge Element 73,4.798458,36.24896
0,Bonnie,732,37.3518,Knowledge Element 74,3.9273932,3.6098566
0,Bonnie,731,31.8518,Knowledge Element 75,0.19527756,-34.44603
0,Bonnie,730,21.4572,Knowledge Element 76,11.698463,-10.045988
0,Bonnie,729,16.3872,Knowledge Element 77,10.906102,-1.3578676
0,Bonnie,728,23.7033,Knowledge Element 78,5.0796423,-2.0778873
0,Bonnie,727,33.2408,Knowledge Element 79,-7.0419707,-0.5566043
0,Bonnie,726,38.4723,Knowledge Element 80,-9.619062,3.2489493
0,Bonnie,725,39.3615,Knowledge Element 81,-14.498265,-21.856976
0,Bonnie,724,32.2364,Knowledge Element 82,-15.595637,-23.18596
0,Bonnie,723,30.5345,Knowledge Element 83,-12.141215,-5.890052
0,Bonnie,722,27.0194,Knowledge Element 84,-14.007174,-2.3936987
0,Bonnie,721,25.5759,Knowledge Element 85,-18.752016,-2.2957559
0,Bonnie,720,31.1151,Knowledge Element 86,-15.345261,39.201935
0,Bonnie,719,38.1478,Knowledge Element 87,2.4054644,35.263313
0,Bonnie,718,83.8137,Knowledge Element 88,6.20533,59.070248
0,Bonnie,717,43.1435,Knowledge Element 89,6.7184334,56.393753
0,Bonnie,716,34.8553,Knowledge Element 90,12.493531,50.925068
0,Bonnie,715,31.6417,Knowledge Element 91,13.355699,51.733013
0,Bonnie,714,46.3166,Knowledge Element 92,14.403193,48.23357
0,Bonnie,713,52.107,Knowledge Element 93,13.329047,45.34844
0,Bonnie,712,48.5221,Knowledge Element 94,13.46441,49.794575
0,Bonnie,711,32.193,Knowledge Element 95,15.599694,47.33148
0,Bonnie,710,28.4625,Knowledge Element 96,15.435985,43.7874
0,Bonnie,709,28.2689,Knowledge Element 97,14.527249,49.99133
0,Bonnie,708,27.8951,Knowledge Element 98,14.515196,51.04402
0,Bonnie,707,27.5407,Knowledge Element 99,13.372961,48.055855
0,Bonnie,706,33.4396,Knowledge Element 100,11.368852,41.039204
0,Bonnie,705,34.5188,Knowledge Element 101,16.993591,43.05341
0,Bonnie,704,50.0136,Knowledge Element 102,15.863812,50.837563
0,Bonnie,703,41.329,Knowledge Element 103,28.63687,23.209593
0,Bonnie,702,24.7689,Knowledge Element 104,25.591013,19.967148
0,Bonnie,701,20.9273,Knowledge Element 105,21.738214,25.342482
0,Bonnie,700,26.7663,Knowledge Element 106,23.668102,15.659963
0,Bonnie,699,29.8888,Knowledge Element 107,15.258843,8.7873
0,Bonnie,698,27.7085,Knowledge Element 108,11.572909,9.155351
0,Bonnie,697,38.1024,Knowledge Element 109,15.545669,30.384298
0,Bonnie,696,44.8038,Knowledge Element 110,9.720111,36.99557
0,Bonnie,695,45.5117,Knowledge Element 111,10.11877,8.039193
0,Bonnie,694,50.6798,Knowledge Element 112,6.8377557,-3.688517
0,Bonnie,693,44.0504,Knowledge Element 113,9.569431,-4.598318
0,Bonnie,692,34.703,Knowledge Element 114,2.2317636,-9.596816
0,Bonnie,691,32.569,Knowledge Element 115,0.35612985,-12.358241
0,Bonnie,690,37.1224,Knowledge Element 116,4.945787,-3.318655
0,Bonnie,689,44.9964,Knowledge Element 117,-2.6519885,-1.8330152
0,Bonnie,688,43.0006,Knowledge Element 118,-7.82137,0.94090724
0,Bonnie,687,42.4952,Knowledge Element 119,0.6575646,-26.4336
0,Bonnie,686,29.2892,Knowledge Element 120,-3.1950648,-31.98644
0,Bonnie,685,35.3108,Knowledge Element 121,-5.832934,-9.904427
0,Bonnie,684,63.6701,Knowledge Element 122,-6.778276,-26.55467
0,Bonnie,683,100.415,Knowledge Element 123,-2.446571,-30.904226
0,Bonnie,682,160.18,Knowledge Element 124,12.842274,-10.74008
0,Bonnie,681,145.63,Knowledge Element 125,11.348486,11.610463
0,Bonnie,680,116.706,Knowledge Element 126,10.912037,-5.042913
0,Bonnie,679,71.8482,Knowledge Element 127,17.029297,5.265699
0,Bonnie,678,52.192,Knowledge Element 128,27.428581,17.164438
0,Bonnie,677,41.8235,Knowledge Element 129,25.97977,14.351429
0,Bonnie,676,31.7101,Knowledge Element 130,16.098377,6.6149344
0,Bonnie,675,33.3264,Knowledge Element 131,8.679542,13.128363
0,Bonnie,674,33.7712,Knowledge Element 132,11.400498,10.484179
0,Bonnie,673,34.9666,Knowledge Element 133,16.25281,8.068893
0,Bonnie,672,31.7958,Knowledge Element 134,19.163006,6.079965
0,Bonnie,671,32.2544,Knowledge Element 135,19.062716,8.847535
0,Bonnie,670,35.3821,Knowledge Element 136,14.455937,7.5225415
0,Bonnie,669,31.9658,Knowledge Element 137,12.354624,5.939545
0,Bonnie,668,37.2137,Knowledge Element 138,20.652386,9.004518
0,Bonnie,667,30.3141,Knowledge Element 139,22.213867,7.982566
0,Bonnie,666,30.4173,Knowledge Element 140,19.308075,7.4800496
0,Bonnie,665,32.1321,Knowledge Element 141,27.162992,14.216986
0,Bonnie,664,30.8584,Knowledge Element 142,26.467623,9.567564
0,Bonnie,663,23.912,Knowledge Element 143,25.399185,8.904482
0,Bonnie,662,23.6548,Knowledge Element 144,28.52385,11.510565
0,Bonnie,661,29.471,Knowledge Element 145,28.028555,12.520783
0,Bonnie,660,34.0993,Knowledge Element 146,24.309818,16.657106
0,Bonnie,659,32.6868,Knowledge Element 147,19.863276,12.550406
0,Bonnie,658,34.5836,Knowledge Element 148,21.861404,21.372368
0,Bonnie,657,39.0094,Knowledge Element 149,13.623058,38.021465
0,Bonnie,656,40.8046,Knowledge Element 150,12.935872,36.8566
0,Bonnie,655,45.4052,Knowledge Element 151,13.130751,35.412598
