category,description,systemMatchCounter,influenceDistance,name,x,y
0,Bonnie,810,133.152,Knowledge Element 1,-5.07461,3.6190827
0,Bonnie,824,181.442,Knowledge Element 2,-4.634122,3.1008408
0,Bonnie,803,47.0505,Knowledge Element 3,-5.0198255,2.8297613
0,Bonnie,802,13.4032,Knowledge Element 4,-5.628167,4.1300087
0,Bonnie,801,8.30969,Knowledge Element 5,-5.535653,4.0141473
0,Bonnie,800,10.8402,Knowledge Element 6,-4.980043,4.025737
0,Bonnie,799,12.5625,Knowledge Element 7,-4.8287673,4.1365113
0,Bonnie,798,15.2097,Knowledge Element 8,-5.1605725,4.1501675
0,Bonnie,797,10.3379,Knowledge Element 9,-4.6325684,3.7828622
0,Bonnie,796,8.15479,Knowledge Element 10,-4.810866,3.6586807
0,Bonnie,795,8.92634,Knowledge Element 11,-4.766291,3.6040077
0,Bonnie,794,13.1973,Knowledge Element 12,-4.835785,3.5034754
0,Bonnie,793,20.6405,Knowledge Element 13,-5.1754594,4.2783256
0,Bonnie,792,14.5392,Knowledge Element 14,-5.275389,4.2882338
0,Bonnie,791,13.8648,Knowledge Element 15,-4.799744,3.7010446
0,Bonnie,790,20.4916,Knowledge Element 16,-4.901604,4.0879
0,Bonnie,789,26.797,Knowledge Element 17,-4.8105116,4.1280465
0,Bonnie,788,43.7849,Knowledge Element 18,-5.258092,2.6824393
0,Bonnie,787,39.9572,Knowledge Element 19,-0.7260997,2.035299
0,Bonnie,786,26.1769,Knowledge Element 20,-5.3524804,4.414504
0,Bonnie,785,22.7727,Knowledge Element 21,-4.904347,4.6791353
0,Bonnie,784,14.3334,Knowledge Element 22,-4.771191,4.6307855
0,Bonnie,783,19.3269,Knowledge Element 23,-5.396221,3.9563034
0,Bonnie,782,19.8822,Knowledge Element 24,-5.4819555,3.9265795
0,Bonnie,781,23.0062,Knowledge Element 25,-5.312266,4.534549
0,Bonnie,780,21.7389,Knowledge Element 26,-4.5081277,3.4241757
0,Bonnie,779,26.3533,Knowledge Element 27,-4.877259,3.4829366
0,Bonnie,778,25.8412,Knowledge Element 28,-5.3486176,3.7637331
0,Bonnie,777,25.5013,Knowledge Element 29,-5.618682,4.4628386
0,Bonnie,776,19.4309,Knowledge Element 30,-5.372864,4.0646286
0,Bonnie,775,17.7399,Knowledge Element 31,-5.519131,3.6532862
0,Bonnie,774,16.6862,Knowledge Element 32,-5.1114116,4.0717607
0,Bonnie,773,21.2317,Knowledge Element 33,-4.501056,4.056016
0,Bonnie,772,17.5648,Knowledge Element 34,-4.6995764,3.5265963
0,Bonnie,771,20.8131,Knowledge Element 35,-5.201507,3.5744898
0,Bonnie,770,27.5222,Knowledge Element 36,-5.5564647,4.4400597
0,Bonnie,769,22.2158,Knowledge Element 37,-5.3981533,4.2381825
0,Bonnie,768,40.5893,Knowledge Element 38,-5.053123,4.345465
0,Bonnie,767,32.1389,Knowledge Element 39,-5.4113865,3.9754019
0,Bonnie,766,25.6573,Knowledge Element 40,-5.6668277,3.6262617
0,Bonnie,765,29.9499,Knowledge Element 41,-4.672873,3.5461175
0,Bonnie,764,34.0641,Knowledge Element 42,-5.3452687,3.6256971
0,Bonnie,763,37.1561,Knowledge Element 43,-4.748365,4.5546684
0,Bonnie,762,32.5221,Knowledge Element 44,-5.4659038,4.30015
0,Bonnie,761,32.1434,Knowledge Element 45,-5.356351,4.0342407
0,Bonnie,760,34.3905,Knowledge Element 46,-5.5777855,3.556438
0,Bonnie,759,42.2816,Knowledge Element 47,-5.5153537,3.2601886
0,Bonnie,758,62.768,Knowledge Element 48,-5.3565307,3.3340597
0,Bonnie,757,65.2279,Knowledge Element 49,-5.011064,3.989223
0,Bonnie,756,53.7063,Knowledge Element 50,-5.2058096,3.7791164
0,Bonnie,755,39.7183,Knowledge Element 51,-5.4299846,4.3702664
0,Bonnie,754,32.4495,Knowledge Element 52,-5.345569,2.967956
0,Bonnie,753,26.9851,Knowledge Element 53,-5.629117,3.7580593
0,Bonnie,752,28.0116,Knowledge Element 54,-4.6260023,3.637062
0,Bonnie,751,36.1839,Knowledge Element 55,-4.631243,3.6085818
0,Bonnie,750,45.5473,Knowledge Element 56,-5.251312,3.5347478
0,Bonnie,749,54.1489,Knowledge Element 57,-5.6075454,4.3607435
0,Bonnie,748,42.9439,Knowledge Element 58,-5.401101,4.4135427
0,Bonnie,747,68.1122,Knowledge Element 59,-1.6245899,4.67077
0,Bonnie,746,25.5668,Knowledge Element 60,-1.6169348,4.657499
0,Bonnie,745,27.0931,Knowledge Element 61,-1.6470729,4.776537
0,Bonnie,744,30.2452,Knowledge Element 62,-1.66629,4.7166433
0,Bonnie,743,38.8222,Knowledge Element 63,-1.6869091,4.7501235
0,Bonnie,742,35.0979,Knowledge Element 64,-1.6922339,4.706305
0,Bonnie,741,30.7027,Knowledge Element 65,-1.7748412,4.68553
0,Bonnie,740,21.688,Knowledge Element 66,-1.8055533,4.6748486
0,Bonnie,739,17.6503,Knowledge Element 67,-1.7390717,4.681132
0,Bonnie,738,17.9878,Knowledge Element 68,-1.7323332,4.6960564
0,Bonnie,737,19.959,Knowledge Element 69,-1.8521168,4.5564737
0,Bonnie,736,26.902,Knowledge Element 70,-1.8935527,4.608895
0,Bonnie,735,28.84,Knowledge Element 71,-1.9213377,4.649313
0,Bonnie,734,30.579,Knowledge Element 72,-2.0168803,4.6252084
0,Bonnie,733,31.0836,Knowledge Element 73,-2.0067706,4.6474547
0,Bonnie,732,37.3518,Knowledge Element 74,-2.1019077,4.605623
0,Bonnie,731,31.8518,Knowledge Element 75,-2.0040293,4.5054374
0,Bonnie,730,21.4572,Knowledge Element 76,-1.9001422,4.481252
0,Bonnie,729,16.3872,Knowledge Element 77,-1.801852,4.4316635
0,Bonnie,728,23.7033,Knowledge Element 78,-1.7554228,4.3856797
